Shape Parameter MLE,Scale Parameter MLE,Concentration (uM)
2.652940708267754,128.8900241048527,7
2.5942821012141706,127.99900572744285,7
2.307706872908946,137.03940607711343,7
2.371369155061157,137.34818280283918,7
2.678189132343553,123.53378884552927,7
2.2144290180527557,148.3001394930136,7
2.627747959747085,123.8660706990318,7
2.5722250821011055,125.43688924156098,7
2.4053164409283543,139.68003960383402,7
2.3230720923877284,142.08257610520053,7
2.574503694081981,130.63401801656246,7
2.5744915323279955,130.36967486736373,7
2.5216053103678857,122.56890725868715,7
2.566216049638392,130.41690725330812,7
2.3857659511157934,135.69225157791476,7
2.2357170608549914,140.78594427280765,7
2.388399509955884,131.88072597730965,7
2.56220202452539,133.1259575513401,7
2.3872472783866203,138.1771352187176,7
2.4199369945473928,124.99754472386827,7
2.3854438101585362,127.86936999015697,7
2.3032222747927062,132.8109614117171,7
2.397494854634867,142.61429898909284,7
2.4116346530493242,132.14199968642308,7
2.481560310069054,128.06784765082682,7
2.246987140881683,146.43037045986716,7
2.6283355075777597,123.16506263249418,7
2.5376365429434586,130.72670575082998,7
2.3804785389153755,136.14166862401046,7
2.480153064908053,129.78301066218424,7
2.4314315423129855,122.2293111791581,7
2.2593687651960437,144.69871994823254,7
2.5028111154946275,125.93568622282217,7
2.2968692582243637,137.89367946844246,7
2.1768380254227258,149.55422802015423,7
2.467261337560636,128.07008533531604,7
2.6508032766638854,126.7674633361163,7
2.5313136661477174,124.97632862409098,7
2.5422601666383113,127.27687288763248,7
2.2441244246147116,145.9142266088961,7
2.448998596855311,134.8185861992522,7
2.468269965758135,139.52280404257394,7
2.3748083543138225,136.89994783174544,7
2.627132957589754,127.06629346544425,7
2.515781737575918,127.83006486566119,7
2.362507262059276,136.75761021291484,7
2.3384770290376076,135.61475878145094,7
2.5863539861916833,124.46961259107792,7
2.158660650515199,149.37271806570655,7
2.319603620406712,142.53882669403504,7
2.3547898087331065,136.6932681895713,7
2.371056521964362,135.48264482630046,7
2.2979337349548254,137.64337175716415,7
2.472124965792667,125.44980361397631,7
2.47257733007532,130.56618919869751,7
2.4997525099415534,131.7157540736129,7
2.872147566726667,112.44725194657698,7
2.4389998443665886,127.69832771035958,7
2.698732071912065,123.15965137693472,7
2.451392060746061,132.34836587037864,7
2.6266524877234554,119.40806522000604,7
2.3396698424652747,139.8638250235962,7
2.479824394956638,131.27940748769777,7
2.5434860057370283,125.87747903505688,7
2.5449241640665115,131.50574859754414,7
2.571294662429854,122.88563213636705,7
2.2864730869153846,147.0722988695606,7
2.37647492998899,134.69494232371318,7
2.633301745856606,123.12622157183516,7
2.396943729238865,129.88424888692165,7
2.5889559546527776,123.88385422800678,7
2.444684757221564,130.389250461044,7
2.6320137221874544,123.48836091511996,7
2.5973659196812235,123.53942881486942,7
2.558019501606242,129.529938819286,7
2.310796267639929,139.612149430604,7
2.52091174263116,134.86748404600368,7
2.5854585802127326,120.39624692763657,7
2.41255657475696,134.21550148895028,7
2.3515530210255196,135.80907597987257,7
2.6506027117219784,127.66738408116723,7
2.4201883898881134,136.55495845887907,7
2.5003598691370232,134.08687729776736,7
2.4877050209252354,132.30374688070302,7
2.448683713404031,121.80991783313414,7
2.2574758739343364,139.8459204901813,7
2.5503256658376707,129.55617368308216,7
2.521198383466613,123.06238813707681,7
2.597049910834874,122.73021151028532,7
2.5344487147903605,125.48067555959338,7
2.4725597785540114,131.30039328904078,7
2.292052573350359,142.0085122902778,7
2.5319655238569396,127.27880636333262,7
2.7158443036958984,118.63480451928945,7
2.394644649805889,143.0358982529594,7
2.494660865950467,132.689859145715,7
2.538209729985846,124.80944540798308,7
2.2650386891624517,146.2246322959519,7
2.846908968247716,111.61877004164694,7
2.466668888111958,136.3050172721686,7
2.342910808744955,140.19504377831717,7
2.681582878135076,124.82508491783501,7
2.5667991346078782,125.34234181075861,7
2.549112751341942,130.05747058228872,7
2.4747362715630277,123.75888757190297,7
2.483880426554398,125.05494245510016,7
2.4522684315695304,132.75225497458806,7
2.2892312831893253,148.49149192886634,7
2.651981795574469,124.22001331768206,7
2.495906649585083,130.93135987580442,7
2.2383091149435215,138.12580195259468,7
2.2501060682468594,145.37136365169977,7
2.409326552571871,134.30644227434448,7
2.240725381369422,143.8638146113299,7
2.4190961705696865,132.86110114817674,7
2.556145002530243,128.00311345730336,7
2.5034373323458667,126.5091828405914,7
2.3866360109914564,135.04491550086985,7
2.284960195764035,137.36727763498692,7
2.2219468389263057,144.85950458973232,7
2.3820546575461705,133.53061737168554,7
2.429765652430525,132.80770636609097,7
2.4648516435467824,126.64358638826158,7
2.5037678362788176,128.77069359497588,7
2.653858739114327,123.30355211937706,7
2.289593885145005,142.55048318474667,7
2.511877683863902,124.60425982199709,7
2.5129242981770137,122.30115548432408,7
2.3958459450894396,129.46522082046513,7
2.2686144381893647,142.53589414504265,7
2.458256129677547,125.45073811251785,7
2.2940919175771732,138.85676007287933,7
2.6251906082592336,126.51180020246913,7
2.451539714708627,131.47826528252097,7
2.600474286241659,121.7952019883038,7
2.5698167274981936,128.74718948828777,7
2.3823764490638952,132.1315280493078,7
2.4597196216863773,140.01550801284688,7
2.5253673292513503,130.38928209888996,7
2.3339651379322883,134.97860649964935,7
2.2823830162745464,142.2443318726293,7
2.718688696534228,117.00433656903013,7
2.424697258300727,134.4319043638497,7
2.4070768085526706,126.82066275826887,7
2.7139726390673298,121.88834685406847,7
2.412253773905124,134.19146173772208,7
2.2976557353697586,144.26894606217002,7
2.4381619461135178,134.00984948479925,7
2.464966618258973,133.61227637072054,7
2.5739478347432825,127.30170047597242,7
2.7131486112506513,117.43759855195073,7
2.3972825954829626,135.4796718230116,7
2.5924208165509857,121.3713115297399,7
2.2679682110294865,144.5044575048555,7
2.3794115669473235,133.71002377260484,7
2.210788897317382,144.10793387075583,7
2.1771707679437045,145.14449074323184,7
2.337042363284152,138.51794022887626,7
2.491820173413712,128.92830375352634,7
2.3368858678452384,132.13559142520327,7
2.455586892379664,130.21337710611186,7
2.3987294786280793,135.20805568864137,7
2.386497762005173,134.84726751039844,7
2.1264338707673742,154.65537873670877,7
2.5469120643197334,133.66851824734533,7
2.26232829756729,142.65291784803077,7
2.6670099141417194,121.59370330899327,7
2.299694824136865,133.91285598808471,7
2.537642935792501,130.3775151030076,7
2.491796833164444,126.20424320107955,7
2.38483787659687,136.99138498787778,7
2.8417130498659815,117.85496124792137,7
2.0537422163844012,162.15708206510288,7
2.270082667648553,143.58513674995697,7
2.6446556352833177,128.41014460572478,7
2.5020760909505335,126.13374797269509,7
2.364865316216596,138.9449410501159,7
2.4860343145420782,132.9055115473674,7
2.6907686459847846,119.98418703695978,7
2.200968587795277,148.06524615410592,7
2.4174521250001653,135.38843007835757,7
2.352897339632393,136.76085106454786,7
2.288379496073018,143.7368253640413,7
2.283698934992139,141.84572445976494,7
2.543791325927535,126.86201079251255,7
2.416025888246654,139.9238654397019,7
2.269107967699857,141.7097387648262,7
2.536345352410122,125.51585119265658,7
2.180349017093019,145.24585964062481,7
2.40819017260546,134.0253682198828,7
2.332036455878752,137.51631418764384,7
2.212075295539232,151.11381848260365,7
2.305030802434291,138.19345427255638,7
2.5652529096186076,124.81406569152234,7
2.516948527852103,127.26064639193409,7
2.4163743827350226,133.26580612970395,7
2.614831694392487,121.97491009633143,7
2.625153570704807,122.84897387784126,7
2.4675260408396475,130.61300336707518,7
2.2705144136530704,140.07663090335564,7
2.536584394704901,131.17276562887872,7
2.4996724155208003,129.51974919796785,7
2.3705909617787193,133.73487244184037,7
2.542585716221224,127.49420045947693,7
2.3353619302241966,136.54360203829154,7
