Beta_1 Parameter MLE,Beta_2 Parameter MLE,Concentration (uM)
0.004694678305233708,0.008308998624315847,7
0.006418590823010391,0.006418591599104855,7
0.0051810098757616545,0.0084072461942164,7
0.0060939497261398535,0.006500521775051439,7
0.004482748271018328,0.009525512056535755,7
0.005922375112286987,0.006036502754227264,7
0.00453274670471355,0.009232726997038265,7
0.004533940983797265,0.00845623504119394,7
0.004579989247251053,0.00943569338645987,7
0.004411935918804125,0.01037765609309993,7
0.006370081548399235,0.006370081924647674,7
0.006198672100861385,0.006198672714132815,7
0.006265098593719057,0.006265101798094897,7
0.004272615883631311,0.010138785648664442,7
0.004987673243628522,0.007830997248427384,7
0.004763446276029203,0.00941982354752676,7
0.006337044110216624,0.006370570321679563,7
0.005774130474153177,0.005774131941497699,7
0.006359382896066752,0.0063593831383414205,7
0.004501914168542311,0.00913942655655258,7
0.004578111965017353,0.010026856276623405,7
0.004793598966450247,0.009537467503332946,7
0.0059515433115469646,0.0066219991106666164,7
0.005164656741704004,0.0076415982184833645,7
0.00604239934043165,0.006046191725766457,7
0.004646093258084456,0.009284548343780293,7
0.006449421238646784,0.006449422189951532,7
0.006050685387757836,0.00610281920609442,7
0.0064077013425583645,0.0064457427596701505,7
0.006137138670484833,0.006137141982055477,7
0.006368930954904266,0.006368931013147209,7
0.004889218443602443,0.008336032652764848,7
0.004609604257343539,0.009609802590911383,7
0.0053440372686377035,0.008278386419807462,7
0.00446800793179718,0.01048543944532498,7
0.006388426656908967,0.006388426790227913,7
0.006315316978196092,0.006315317099542082,7
0.0045737448644770275,0.009127109189380634,7
0.004904340298211671,0.0081680115983498,7
0.004693679829040534,0.008235356427023008,7
0.00634179859426429,0.006354632219514991,7
0.006021890150282125,0.006021890164318343,7
0.004592105480417654,0.009081291246761868,7
0.006153415878249422,0.006161266941049894,7
0.005783297910040872,0.007055604848166117,7
0.0060529254181167155,0.006052925854681106,7
0.0062970567417347245,0.006747793691196714,7
0.004912205821415998,0.008948324423839103,7
0.006336734247396317,0.006336736353213429,7
0.006494901221011867,0.006494901861432835,7
0.004214520556898101,0.012821552384860671,7
0.005560865741478389,0.007956401332704283,7
0.004535009956563995,0.007864857481082458,7
0.006304057556558647,0.006304059754266199,7
0.006221647133768189,0.006221647396352134,7
0.00542124759376395,0.007505928238886827,7
0.006361856027522909,0.0063618577329330895,7
0.006535990236627628,0.006579127877752058,7
0.004487500882272644,0.009939981017933572,7
0.0062273404942993025,0.006227340779340571,7
0.005183738131496456,0.008174227532867898,7
0.004836155866039993,0.008742735140534879,7
0.004396987642239993,0.009452741994573252,7
0.006494028046917314,0.006494028695760845,7
0.005760519681709835,0.006266994847345266,7
0.0062269941865083405,0.006226994968631359,7
0.005888906431980749,0.0063088792089029955,7
0.006223039485144985,0.0062230394890009704,7
0.006365543051336777,0.0063655434847390115,7
0.006372359287233073,0.0063723644350991955,7
0.004511854168751168,0.009451611586630021,7
0.0062796881058818955,0.006279688249968297,7
0.004440441993142088,0.008064990199424036,7
0.0064878876332729535,0.006487888556456222,7
0.006320006083170402,0.006320008221554641,7
0.005145519441711215,0.00845849864383888,7
0.004693691137034406,0.00836182234845114,7
0.00446643426279476,0.00891174731217532,7
0.0064483362867226715,0.006448337376965592,7
0.00612999110461976,0.006297476699385981,7
0.005190104901602915,0.008144357631709714,7
0.006417513591386259,0.006417513795504526,7
0.006485421067190437,0.006485421385672378,7
0.0062777754650839976,0.006556843986593645,7
0.004295150354169709,0.0095222730001483,7
0.004609859288081812,0.00932673911108681,7
0.004455710294731089,0.010282803191660332,7
0.005893441346364369,0.005893441658782668,7
0.004482301273840745,0.009108327653089436,7
0.004504718677435944,0.00934539376559354,7
0.004484067707808514,0.010267073867157889,7
0.0054960575033663715,0.00781276325124553,7
0.0043945205839583884,0.009068679660027744,7
0.004251598817298486,0.008740151117554943,7
0.00444255361474407,0.009098899263254016,7
0.0053060835196396755,0.007083240578557895,7
0.006387697684411966,0.006387698135144384,7
0.006109153941033946,0.006109154215984796,7
0.006182382700237628,0.006194831519066805,7
0.005642473905046089,0.007838201815837265,7
0.0061657542680154396,0.006188910984384425,7
0.006584124131922285,0.006584125129989465,7
0.004357688416645031,0.009755215524091506,7
0.006326397667582532,0.006327774363232345,7
0.005245887468951029,0.00702352322392872,7
0.005372924990890049,0.007750897078073851,7
0.005389490997370581,0.00626982263111126,7
0.006372404719122444,0.00637240699367885,7
0.006244928243687167,0.006244929127192209,7
0.006215310614536165,0.006409544084421588,7
0.005564821770434128,0.0070048473727421625,7
0.004611456052208676,0.008569481384274973,7
0.005699938296340228,0.006046651904162506,7
0.004890648611188673,0.009209176841731118,7
0.0061753807975878225,0.006175381397245557,7
0.006371176049581923,0.006374475874325029,7
0.004366586905754766,0.008760593017754066,7
0.006111524621023107,0.0061115253163695656,7
0.004346787108514871,0.010799769548831294,7
0.0062409937595461285,0.006244745394268914,7
0.006365037328952493,0.006365037557019012,7
0.006263224521904485,0.00626322604654719,7
0.006279593931065323,0.006279594150272938,7
0.005590128641435016,0.006479327950496534,7
0.0044152473467688825,0.009404462452303412,7
0.004313972240101537,0.008777747210707183,7
0.0044369669974775785,0.008217479067749674,7
0.0062976283901991755,0.006297628510376336,7
0.006247176184389906,0.006594701322047133,7
0.006174954866651906,0.006554232925854382,7
0.004647803768587011,0.009020948549822664,7
0.004472040528840833,0.009412504457682618,7
0.0042698028967134895,0.009485330889285958,7
0.006216800284694701,0.006235658820974737,7
0.005666156699156899,0.005939080851292115,7
0.006171998629039224,0.006171999256126477,7
0.005298136501242914,0.006986454114979938,7
0.005579455099441351,0.00615027795208385,7
0.00641620215697762,0.006416202429377078,7
0.005924596052117584,0.006666273683352941,7
0.005779373863590525,0.00595834202030996,7
0.004373076546073907,0.009963393761372376,7
0.005931961977676101,0.006660153398628292,7
0.006438854913499339,0.006438859185126602,7
0.005924477641373779,0.0059250202900699754,7
0.005867903826187309,0.0062303834025617295,7
0.006063875323412459,0.006063990178853296,7
0.0062284147918825646,0.006736605943503723,7
0.0045023864147926895,0.009285161703659683,7
0.005949453459604521,0.006099011883877566,7
0.006401398560149221,0.006402198577726543,7
0.0042843314707787395,0.010183287035677212,7
0.005992325093175543,0.00599240313416576,7
0.004427779094846714,0.00919465990215591,7
0.0046128015374994145,0.009121816343923141,7
0.004431594004257236,0.00941122671414844,7
0.006092041348715265,0.006092042002396962,7
0.006310744842281135,0.006310746502127017,7
0.006051593172939392,0.006068529363169495,7
0.004535709279552089,0.009682529661231384,7
0.0043434839872103954,0.0087240866795153,7
0.00620572823134933,0.006214786030599282,7
0.004446853819360719,0.00879197144731103,7
0.004620127951789832,0.007544196912838696,7
0.006384363061116692,0.006396313761888582,7
0.006307845218793458,0.0063078481759324696,7
0.006180402403778714,0.006181352605749709,7
0.006297880363645537,0.0063122917911733484,7
0.0062811787579153035,0.006281180996484138,7
0.0062916259812695954,0.006294430281954164,7
0.006376433036776899,0.006376433122888107,7
0.006404479656398249,0.006404483271726067,7
0.006008271630146935,0.006370884827606853,7
0.004731112617758796,0.008882468974751586,7
0.004545576068310465,0.009898998826916854,7
0.00578599392829242,0.005958150501544757,7
0.006361176738047176,0.0063611768981535815,7
0.005896189630455079,0.006870802527610992,7
